wos_accession_number,doi,publication_year
WOS:A1997WK45600016,10.1016/S0011-9164(97)00017-9,1997
WOS:000071523700010,10.1016/S0950-3293(97)00061-X,1997
WOS:A1997WG34300026,10.1021/es950776d,1997
WOS:A1997WV97000025,10.1016/S0043-1354(96)00362-4,1997
WOS:A1997WJ26900030,10.1021/jf960100h,1997
WOS:A1997XH10100013,10.1006/anbe.1996.0433,1997
WOS:A1997XE04200024,10.1016/S0043-1354(96)00338-7,1997
WOS:A1997XF15400031,10.1016/S0273-1223(97)00137-6,1997
WOS:A1997WV17000018,,1997
WOS:A1997WK45600017,10.1016/S0011-9164(97)00018-0,1997
WOS:A1997XR41000004,10.1016/S0300-483X(97)00076-0,1997
WOS:A1997XF15400020,10.1016/S0273-1223(97)00126-1,1997
WOS:000071584800021,10.1016/S0021-9673(97)00769-3,1997
WOS:A1997XZ97100008,,1997
WOS:000071577500013,10.2166/wst.1997.0436,1997
WOS:A1997WD07300013,10.1016/S0043-1354(96)00254-0,1997
WOS:000071542800003,10.1021/es9704085,1998
WOS:000076476200002,10.1016/S0043-1354(98)00130-4,1998
WOS:000073795400006,10.1016/S0043-1354(97)00388-6,1998
WOS:000074398200002,10.1016/S0031-9384(98)00037-7,1998
WOS:000074675700006,10.1002/pen.10259,1998
WOS:000072231600033,10.1016/S0043-1354(97)00276-5,1998
WOS:000074996300009,10.1016/S0737-0806(98)80040-3,1998
WOS:000074735800019,10.1016/S0043-1354(97)00444-2,1998
WOS:000076971100004,,1998
WOS:000077053700001,10.1111/j.1530-0277.1998.tb03957.x,1998
WOS:000076453400040,10.1039/a803621g,1998
WOS:000077946600012,10.1007/BF02709170,1998
WOS:000077429600006,10.1016/S0043-1354(98)00153-5,1998
WOS:000078691900008,10.1016/S0380-1330(98)70867-6,1998
WOS:000072652800004,10.1016/S0006-3223(97)00436-8,1998
WOS:000076306300004,,1998
WOS:000072683900003,,1998
WOS:000073795400036,10.1016/S0043-1354(97)00379-5,1998
WOS:000075531900013,10.2166/wst.1998.0392,1998
WOS:000074839400015,10.1021/es9709076,1998
WOS:000083324400001,,1999
WOS:000080074800003,10.1080/01919519908547246,1999
WOS:000083324400022,10.1016/S0273-1223(99)00552-1,1999
WOS:000084432800017,10.1081/MA-100101625,1999
WOS:000082623500015,10.1016/S0043-1354(99)00027-5,1999
WOS:000083324400036,10.2166/wst.1999.0307,1999
WOS:000082510600017,10.1016/S0043-1354(99)00155-4,1999
WOS:000083324400026,10.1016/S0273-1223(99)00556-9,1999
WOS:000083324400041,10.1016/S0273-1223(99)00571-5,1999
WOS:000083324400006,10.1016/S0273-1223(99)00536-3,1999
WOS:000083324400023,10.2166/wst.1999.0289,1999
WOS:000079284500006,10.2166/aqua.1999.0003,1999
WOS:000083482500004,10.1080/01919512.1999.10382885,1999
WOS:000079485400003,10.1016/S0043-1354(98)00357-1,1999
WOS:000080074800005,10.1080/01919519908547248,1999
WOS:000079813300004,10.1039/a807714b,1999
WOS:000079158700024,10.1002/(SICI)1522-7278(199902)14:1<183::AID-TOX24>3.0.CO;2-G,1999
WOS:000083324400003,10.2166/wst.1999.0252,1999
WOS:000078203500021,,1999
WOS:000083324400015,10.1016/S0273-1223(99)00545-4,1999
WOS:000080074800002,10.1080/01919519908547244,1999
WOS:000083324400005,10.2166/wst.1999.0256,1999
WOS:000083688900014,10.1021/es990336c,1999
WOS:000083324400033,10.1016/S0273-1223(99)00563-6,1999
WOS:000079811600017,10.1016/S0380-1330(99)70728-8,1999
WOS:000083324400013,10.1016/S0273-1223(99)00543-0,1999
WOS:000083324400039,10.1016/S0273-1223(99)00569-7,1999
WOS:000082750800006,10.1016/S0043-1354(99)00051-2,1999
WOS:000083324400029,10.2166/wst.1999.0300,1999
WOS:000078203500017,,1999
WOS:000083324400016,10.1016/S0273-1223(99)00546-6,1999
WOS:000083324400030,10.1016/S0273-1223(99)00560-0,1999
WOS:000083324400040,10.1016/S0273-1223(99)00570-3,1999
WOS:000080074800010,10.1080/01919519908547253,1999
WOS:000080074800004,10.1080/01919519908547247,1999
WOS:000083324400028,10.2166/wst.1999.0299,1999
WOS:000083324400019,10.2166/wst.1999.0282,1999
WOS:000081510900021,,1999
WOS:000083324400038,10.1016/S0273-1223(99)00568-5,1999
WOS:000168835100036,,2000
WOS:000086264000004,10.2166/aqua.2000.0009,2000
WOS:000165555200008,10.1016/S0149-1970(00)00021-4,2000
WOS:000089504000006,10.1080/03067310008032686,2000
WOS:000086031400031,10.2307/3454438,2000
WOS:000087974200034,10.1021/es9914590,2000
WOS:000087860400015,10.1016/S0308-8146(00)00107-2,2000
WOS:000088475900040,10.2166/wst.2000.0455,2000
WOS:000166245300017,10.1016/S0011-9164(00)00144-2,2000
WOS:000089453500006,,2000
WOS:000087436600024,10.1016/S0043-1354(00)00027-0,2000
WOS:000087929100013,10.1016/S0043-1354(00)00077-4,2000
WOS:000089557100006,10.1016/S0380-1330(00)70695-2,2000
WOS:000089465000021,10.2166/wst.2000.0302,2000
WOS:000168836400019,,2000
WOS:000088630300012,10.1016/S0043-1354(00)00079-8,2000
WOS:000168990800022,10.1039/b008013f,2001
WOS:000168652100012,,2001
WOS:000167682300030,,2001
WOS:000171846000009,10.1039/b102962m,2001
WOS:000169105500003,10.1542/peds.107.6.e88,2001
WOS:000168836700019,,2001
WOS:000167987200013,10.1016/S0043-1354(00)00425-5,2001
WOS:000167283400002,10.1006/nlme.2000.3969,2001
WOS:000167033400017,,2001
WOS:000166952900003,10.2166/wqrj.2001.003,2001
WOS:000172889600049,10.1021/jf010722p,2001
WOS:000172521600009,10.1002/tox.10009,2001
WOS:000177173600014,,2001
WOS:000168836800027,,2001
WOS:000166000200004,10.1002/1098-2302(2001)38:1<46::AID-DEV4>3.0.CO;2-O,2001
WOS:000171840700006,10.1016/S0043-1354(01)00248-2,2001
WOS:000168260000034,10.1021/jf001252m,2001
WOS:000168836600028,10.1002/j.1551-8833.2001.tb09130.x,2001
WOS:000171153700002,,2001
WOS:000169841800007,10.1111/j.1530-0277.2001.tb02307.x,2001
WOS:000172862700001,10.1023/A:1013373420314,2001
WOS:000166602300001,10.1016/S0043-1354(00)00313-4,2001
WOS:000176227300004,10.1093/chemse/27.5.425,2002
WOS:000176713700022,,2002
WOS:000173262400001,10.1016/S0043-1354(01)00253-6,2002
WOS:000177586400010,10.1016/S0960-8524(02)00079-2,2002
WOS:000175817400019,10.1016/S0048-9697(01)01049-X,2002
WOS:000176378600578,,2002
WOS:000180154500007,10.1080/07438140209353938,2002
WOS:000174008200001,,2002
WOS:000178797300001,10.1081/PPT-120014389,2002
WOS:000176112600018,,2002
WOS:000179435100014,,2002
WOS:000175613800009,10.1080/09593332508618412,2002
WOS:000176713700021,,2002
WOS:000179126700013,10.1016/S0165-2370(02)00005-0,2002
WOS:000177109400037,10.1021/jf0255174,2002
WOS:000177352400001,10.2166/aqua.2002.0016,2002
WOS:000178605100009,10.1016/S0008-6223(02)00098-2,2002
WOS:000220669000001,10.1080/01919510208901630,2002
WOS:000179410700006,10.1097/01.ALC.0000036302.73712.9D,2002
WOS:000180466600003,10.2166/aqua.2002.0040,2002
WOS:000176097200002,,2002
WOS:000180693500020,10.1051/lhb/2002069,2002
WOS:000187533900025,,2003
WOS:000185158500004,,2003
WOS:000181037100021,,2003
WOS:000183511100007,10.1021/jf0340207,2003
WOS:000183911200011,10.1080/0307945031000097921,2003
WOS:000186849100001,,2003
WOS:000186296200011,10.1080/02652030310001606014,2003
WOS:000183824200005,10.1021/jf034001x,2003
WOS:000183656600002,10.2166/aqua.2003.0018,2003
WOS:000182181800015,10.1016/S0045-6535(03)00030-4,2003
WOS:000183824200004,10.1021/jf034003h,2003
WOS:000182344600022,10.1016/S0043-1354(02)00576-6,2003
WOS:000181041100007,10.2166/wqrj.2003.007,2003
WOS:000181997000007,10.1016/S0380-1330(03)70416-X,2003
WOS:000183246700012,10.1007/s00216-003-1868-3,2003
WOS:000188064800002,10.2166/aqua.2003.0048,2003
WOS:000184110900011,10.1046/j.1365-2672.2003.01974.x,2003
WOS:000180422800020,10.1016/S0043-1354(02)00372-X,2003
WOS:000180953900016,,2003
WOS:000186003400006,10.1061/(ASCE)0733-9496(2003)129:6(493),2003
WOS:000185701400021,10.1111/1539-6924.00384,2003
WOS:000182256600018,,2003
WOS:000179563500014,10.1016/S0043-1354(02)00271-3,2003
WOS:000183453700047,10.2166/wst.2003.0710,2003
WOS:000224231900018,10.1080/15287390490492377,2004
WOS:000222627900002,10.1080/09603120410001725595,2004
WOS:000222401500035,10.2166/wst.2004.0584,2004
WOS:000222401500011,10.2166/wst.2004.0537,2004
WOS:000223604200021,,2004
WOS:000222401500037,10.2166/wst.2004.0586,2004
WOS:000220576400020,10.1016/j.chroma.2004.02.008,2004
WOS:000222401500030,10.2166/wst.2004.0575,2004
WOS:000221446800008,10.1016/j.foodhyd.2003.10.002,2004
WOS:000222401500013,10.2166/wst.2004.0540,2004
WOS:000221996100006,10.1002/aheh.200200515,2004
WOS:000222401500039,10.2166/wst.2004.0588,2004
WOS:000222401500022,10.2166/wst.2004.0558,2004
WOS:000223649900003,10.1139/s03-078,2004
WOS:000221946500025,10.1016/j.aquaculture.2004.02.020,2004
WOS:000226005200002,,2004
WOS:000224121100005,10.2166/wqrj.2004.029,2004
WOS:000222401500032,10.2166/wst.2004.0579,2004
WOS:000222401500040,10.2166/wst.2004.0589,2004
WOS:000222401500045,10.2166/wst.2004.0594,2004
WOS:000187781800051,10.1021/es026397j,2004
WOS:000224099600016,10.1365/s10337-003-0125-4,2004
WOS:000222401500043,10.2166/wst.2004.0592,2004
WOS:000220173700016,,2004
WOS:000220501400027,10.1016/j.watres.2004.01.008,2004
WOS:000187881200025,10.1016/j.watres.2003.08.026,2004
WOS:000222401500018,10.2166/wst.2004.0550,2004
WOS:000222401500038,10.2166/wst.2004.0587,2004
WOS:000220462200026,10.1016/j.watres.2003.11.036,2004
WOS:000220036100009,,2004
WOS:000225194700012,10.1016/j.watres.2004.08.014,2004
WOS:000222401500031,10.2166/wst.2004.0577,2004
WOS:000222401500012,10.2166/wst.2004.0538,2004
WOS:000222401500017,10.2166/wst.2004.0548,2004
WOS:000222401500006,10.2166/wst.2004.0527,2004
WOS:000223035400021,10.1021/es035021i,2004
WOS:000222401500042,10.2166/wst.2004.0591,2004
WOS:000220046300011,,2004
WOS:000222401500019,10.2166/wst.2004.0552,2004
WOS:000220654300004,10.1002/dev.20004,2004
WOS:000222401500036,10.2166/wst.2004.0585,2004
WOS:000188364500013,10.1016/j.watres.2003.10.054,2004
WOS:000221603100028,10.1016/j.jcis.2004.03.010,2004
WOS:000230724000007,10.1007/s10811-004-5506-z,2004
WOS:000224121100006,10.2166/wqrj.2004.030,2004
WOS:000223543600050,,2004
WOS:000222401500029,10.2166/wst.2004.0573,2004
WOS:000224066100004,10.2166/aqua.2004.0026,2004
WOS:000229662200020,10.1021/es0480264,2005
WOS:000229765500005,10.1007/s00254-005-1222-5,2005
WOS:000234881000008,10.1080/09593332608618607,2005
WOS:000233644300017,10.2166/wst.2005.0245,2005
WOS:000231461500020,10.1016/j.desal.2004.11.068,2005
WOS:000232621800011,10.1897/05-080R.1,2005
WOS:000231335500016,10.1016/j.watres.2005.04.039,2005
WOS:000238034800010,10.1080/10020070512330009,2005
WOS:000231335500021,10.1016/j.watres.2005.04.055,2005
WOS:000227701000003,10.1081/ESE-200048262,2005
WOS:000231165400005,10.1002/tox.20128,2005
WOS:000229662200058,10.1021/es040480k,2005
WOS:000231879100003,10.1007/s10750-004-4665-x,2005
WOS:000230457000009,10.1080/02652030500159987,2005
WOS:000226706700011,10.1016/j.chroma.2004.12.027,2005
WOS:000234411300011,10.1002/jssc.200401944,2005
WOS:000230331400004,10.1002/ffj.1464,2005
WOS:000226450000031,10.1021/jf049582k,2005
WOS:000231583400005,10.2166/aqua.2005.0030,2005
WOS:000230980600018,10.1016/j.watres.2005.04.026,2005
WOS:000234442600006,10.1016/j.watres.2005.06.038,2005
WOS:000230054700032,10.2166/wst.2005.0645,2005
WOS:000226574800028,10.1111/j.1460-9568.2005.03862.x,2005
WOS:000233067200032,10.1016/j.pce.2005.08.031,2005
WOS:000230842700003,10.1080/10643380590966208,2005
WOS:000228953600010,10.1093/jn/135.5.1019,2005
WOS:000239769400017,,2006
WOS:000241703700001,10.1080/01919510600892836,2006
WOS:000242142700007,10.2166/wqrj.2006.033,2006
WOS:000234759500010,,2006
WOS:000242791500002,10.1016/j.chroma.2006.09.087,2006
WOS:000237479100004,,2006
WOS:000238622000009,,2006
WOS:000240730300009,10.1016/j.anbehav.2005.11.015,2006
WOS:000238761600132,,2006
WOS:000239155300032,10.1016/j.chroma.2006.04.079,2006
WOS:000235169400010,10.1111/j.1574-6941.2005.00054.x,2006
WOS:000238932700005,10.1016/j.chemosphere.2005.10.023,2006
WOS:000238014600015,10.1016/j.watres.2006.02.030,2006
WOS:000239731700007,10.1016/j.mcm.2006.01.007,2006
WOS:000236569100004,10.2166/aqua.2005.054,2006
WOS:000238014600001,10.1016/j.watres.2006.02.024,2006
WOS:000240042700020,10.1016/j.scitotenv.2006.01.020,2006
WOS:000241444500008,10.3136/fstr.12.119,2006
WOS:000237479100003,,2006
WOS:000237828900006,10.1016/j.ijheh.2005.12.001,2006
WOS:000235796100021,10.1021/es0512273,2006
WOS:000244539600040,,2006
WOS:000238946800013,10.1080/10934520600754128,2006
WOS:000245786000041,10.2166/wst.2007.057,2007
WOS:000246732500022,10.1016/j.watres.2007.02.005,2007
WOS:000245731800008,10.1016/j.cvfa.2006.12.002,2007
WOS:000246543400031,10.2166/wst.2007.185,2007
WOS:000246543400014,10.2166/wst.2007.168,2007
WOS:000260583100003,,2007
WOS:000251526800017,10.1002/mds.21707,2007
WOS:000247846800010,10.1037/0097-7403.33.3.327,2007
WOS:000246258700009,10.1016/j.bbr.2007.02.012,2007
WOS:000246543400025,10.2166/wst.2007.179,2007
WOS:000248746200006,,2007
WOS:000251391200026,10.1037/0735-7044.121.6.1383,2007
WOS:000247576100008,,2007
WOS:000247318400008,10.1111/j.1530-0277.2007.00400.x,2007
WOS:000246543400015,10.2166/wst.2007.169,2007
WOS:000244410700005,10.1016/j.watres.2006.11.028,2007
WOS:000250290700006,10.1080/13504500709469749,2007
WOS:000246543400045,10.2166/wst.2007.199,2007
WOS:000246543400027,10.2166/wst.2007.181,2007
WOS:000246543400021,10.2166/wst.2007.175,2007
WOS:000245575900016,,2007
WOS:000249608700002,10.1080/10236240701602218,2007
WOS:000247585800020,10.1016/j.watres.2007.02.041,2007
WOS:000247024600010,10.1016/j.scitotenv.2007.01.075,2007
WOS:000246543400033,10.2166/wst.2007.187,2007
WOS:000246543400018,10.2166/wst.2007.172,2007
WOS:000246588200015,10.1016/j.watres.2007.01.021,2007
WOS:000250700600034,10.1128/AEM.01197-07,2007
WOS:000246543400013,10.2166/wst.2007.167,2007
WOS:000250464700010,10.1007/s00254-007-0672-3,2007
WOS:000246588600020,,2007
WOS:000250311500012,10.1038/nchembio.2007.29,2007
WOS:000246543400020,10.2166/wst.2007.174,2007
WOS:000245967900008,10.1002/jctb.1681,2007
WOS:000250038300001,10.1016/j.bbr.2007.05.033,2007
WOS:000246543400016,10.2166/wst.2007.170,2007
WOS:000250556000020,10.1080/10934520701567148,2007
WOS:000246543400029,10.2166/wst.2007.183,2007
WOS:000246543400023,10.2166/wst.2007.177,2007
WOS:000246543400002,10.2166/wst.2007.155,2007
WOS:000246960100009,,2007
WOS:000246543400022,10.2166/wst.2007.176,2007
WOS:000247283700015,10.1016/j.physbeh.2007.03.008,2007
WOS:000248678100023,10.1016/j.chemosphere.2006.08.016,2007
WOS:000246543400024,10.2166/wst.2007.178,2007
WOS:000246580400009,10.1080/09603120701219360,2007
WOS:000244194900011,10.1080/09593332808618770,2007
WOS:000249927200036,10.2134/jeq2006.0523,2007
WOS:000246543400034,10.2166/wst.2007.188,2007
WOS:000246543400009,10.2166/wst.2007.163,2007
WOS:000242371600001,10.1016/j.jenvman.2005.11.017,2007
WOS:000245845400019,10.1016/j.aca.2007.02.031,2007
WOS:000244953300048,10.3168/jds.2006-602,2007
WOS:000248791400014,,2007
WOS:000246543400003,10.2166/wst.2007.156,2007
WOS:000246543400012,10.2166/wst.2007.166,2007
WOS:000249011800005,10.1080/01919510701459311,2007
WOS:000243388200049,10.1021/es061687b,2007
WOS:000247835500003,10.1016/j.desal.2006.10.002,2007
WOS:000246543400026,10.2166/wst.2007.180,2007
WOS:000257719300012,,2007
WOS:000249011800009,10.1080/01919510701462679,2007
WOS:000246543400005,10.2166/wst.2007.158,2007
WOS:000246543400032,10.2166/wst.2007.186,2007
WOS:000248197400001,10.1128/AEM.02250-06,2007
WOS:000245601000005,10.1111/j.1530-0277.2007.00358.x,2007
WOS:000246543400042,10.2166/wst.2007.196,2007
WOS:000246543400028,10.2166/wst.2007.182,2007
WOS:000246543400036,10.2166/wst.2007.190,2007
WOS:000249250900017,10.1016/j.seppur.2007.01.039,2007
WOS:000253727800003,10.1016/j.tifs.2007.08.001,2008
WOS:000254686600021,10.1016/j.neulet.2008.01.037,2008
WOS:000260561200050,10.1021/es801465w,2008
WOS:000255417000003,,2008
WOS:000256763200005,10.1016/j.cis.2008.01.003,2008
WOS:000254066400002,10.1089/ees.2006.0113,2008
WOS:000259701600002,10.2166/aqua.2008.049,2008
WOS:000261198500004,10.2166/aqua.2008.070,2008
WOS:000259041300038,10.1007/s10661-007-0049-9,2008
WOS:000271775104461,,2008
WOS:000257560200001,10.1186/1476-069X-7-24,2008
WOS:000257370300015,10.1016/j.aquaculture.2008.03.047,2008
WOS:000253748500019,10.1002/clen.200700055,2008
WOS:000259182800007,10.2166/aqua.2008.198,2008
WOS:000252246400017,,2008
WOS:000254893200020,,2008
WOS:000259277200030,10.1016/j.pce.2008.06.025,2008
WOS:000255847300017,,2008
WOS:000256050500018,10.1016/j.biortech.2007.09.057,2008
WOS:000256822700018,,2008
WOS:000251378000001,10.1007/978-0-387-74816-0_1,2008
WOS:000260169600002,10.1080/10915810802244439,2008
WOS:000259193900021,10.1139/F08-084,2008
WOS:000265542500010,,2008
WOS:000256335400027,10.1016/j.watres.2008.01.010,2008
WOS:000255418000007,10.1061/(ASCE)0733-9372(2008)134:5(376),2008
WOS:000265169200017,10.2166/wst.2009.035,2009
WOS:000269049300016,10.1016/j.watres.2009.06.009,2009
WOS:000269656200022,10.1021/es9010338,2009
WOS:000271936600004,10.2166/wst.2009.662,2009
WOS:000274724700016,10.1016/j.watres.2009.08.016,2009
WOS:000272963200002,10.2166/wh.2009.075,2009
WOS:000273615600006,10.2166/aqua.2009.122,2009
WOS:000266183100014,10.1016/j.watres.2009.02.015,2009
WOS:000273314100027,,2009
WOS:000271684800001,10.1016/j.chemosphere.2009.09.031,2009
WOS:000273615600007,10.2166/aqua.2009.020,2009
WOS:000267312900007,10.1016/j.watres.2009.04.001,2009
WOS:000263444500020,10.1016/j.desal.2007.11.059,2009
WOS:000271338000004,10.1016/j.scitotenv.2009.06.031,2009
WOS:000267055500005,10.1061/(ASCE)0733-9496(2009)135:4(237),2009
WOS:000265515700027,10.1016/j.seppur.2009.01.013,2009
WOS:000268800900002,10.2166/aqua.2009.089,2009
WOS:000270297900002,10.2166/aqua.2009.114,2009
WOS:000271101700006,10.1080/01919510903091854,2009
WOS:000266183100011,10.1016/j.watres.2009.02.016,2009
WOS:000272467500003,10.2175/106143009X425933,2009
WOS:000273615600002,10.2166/aqua.2009.062,2009
WOS:000264730900017,10.1016/j.chroma.2008.12.020,2009
WOS:000267580500016,10.1016/j.watres.2009.04.014,2009
WOS:000265885300014,,2009
WOS:000273615600009,10.2166/aqua.2009.023,2009
WOS:000264565100003,10.1152/ajpregu.90870.2008,2009
WOS:000265510300009,10.1016/j.bbr.2008.12.031,2009
WOS:000268993700008,10.1016/j.watres.2009.05.018,2009
WOS:000274724700023,10.1016/j.watres.2009.08.026,2009
WOS:000268197400014,10.1016/j.chemosphere.2009.03.073,2009
WOS:000273615600008,10.2166/aqua.2009.121,2009
WOS:000263595500020,10.1016/j.watres.2008.10.044,2009
WOS:000273615600003,10.2166/aqua.2009.124,2009
WOS:000273615600005,10.2166/aqua.2009.018,2009
WOS:000268801000007,10.2166/aqua.2009.197,2009
WOS:000281958700016,10.5004/dwt.2010.1202,2010
WOS:000285986500014,10.1007/s10886-010-9877-0,2010
WOS:000275993700056,10.1021/es902735g,2010
WOS:000278102800005,10.2166/aqua.2010.059,2010
WOS:000280952400010,10.1061/(ASCE)EE.1943-7870.0000231,2010
WOS:000279305900005,10.1016/j.hal.2010.03.003,2010
WOS:000274682500019,10.1039/b911269c,2010
WOS:000284097500002,10.1080/10934521003772352,2010
WOS:000278907300009,10.1061/(ASCE)WR.1943-5452.0000060,2010
WOS:000278737100059,10.1016/j.talanta.2010.02.065,2010
WOS:000281372000016,10.1111/j.1750-3841.2010.01715.x,2010
WOS:000284574200004,10.2166/aqua.2010.101,2010
WOS:000281921200017,10.1016/j.chroma.2010.07.051,2010
WOS:000280285300002,10.1080/07438141.2010.494131,2010
WOS:000277575100014,10.1080/10934521003709115,2010
WOS:000284270100017,10.1007/s00213-010-1990-9,2010
WOS:000285695000012,10.17221/212/2008-CJFS,2010
WOS:000284523400043,10.1021/es102130b,2010
WOS:000275766400012,10.1016/j.watres.2009.10.018,2010
WOS:000275471200024,10.1039/b918487b,2010
WOS:000286294300010,10.1016/j.scitotenv.2010.10.010,2010
WOS:000276673200006,10.1016/j.neulet.2010.02.024,2010
WOS:000282149000008,10.1016/j.cis.2010.06.007,2010
WOS:000283897200011,10.2134/jeq2009.0199,2010
WOS:000287078000018,10.2166/wh.2010.131,2010
WOS:000295029000009,10.2166/wqrj.2010.047,2010
WOS:000281810100021,10.1155/2010/297931,2010
WOS:000285443700001,10.1016/j.watres.2010.06.070,2010
WOS:000276641700020,10.5004/dwt.2010.1678,2010
WOS:000279447400001,10.1016/j.chemosphere.2010.04.067,2010
WOS:000283474900036,10.1016/j.desal.2010.06.069,2010
WOS:000285443700024,10.1016/j.watres.2010.08.001,2010
WOS:000282930800009,,2010
WOS:000282240800017,10.1016/j.jhazmat.2010.06.006,2010
WOS:000283388900002,10.1016/j.aquaeng.2010.05.003,2010
WOS:000289404000001,10.1080/03067310903582341,2011
WOS:000291008900015,10.2166/wh.2011.054,2011
WOS:000300431400005,10.1590/S1413-41522011000400006,2011
WOS:000293312800057,10.1016/j.desal.2011.03.076,2011
WOS:000296212700034,10.1021/es202594z,2011
WOS:000297399900041,10.1016/j.desal.2011.08.007,2011
WOS:000287054500009,10.1016/j.watres.2010.10.014,2011
WOS:000300165100006,10.1007/s10201-011-0344-6,2011
WOS:000288781900005,10.3390/ijerph8030713,2011
WOS:000288954200008,10.1080/01919512.2011.547370,2011
WOS:000290884000017,10.1016/S1001-0742(10)60458-5,2011
WOS:000289565400002,10.1080/10643380903300000,2011
WOS:000288344000077,10.1016/j.jhazmat.2010.12.049,2011
WOS:000297925500044,10.5004/dwt.2011.2662,2011
WOS:000296188200008,10.1080/09593330.2010.545439,2011
WOS:000294101300022,10.1016/j.watres.2011.06.006,2011
WOS:000296578100002,10.2166/aqua.2011.059,2011
WOS:000286090500022,10.1021/es1030068,2011
WOS:000293845600009,10.1080/01919512.2011.584302,2011
WOS:000292427800131,10.1016/j.jhazmat.2011.04.041,2011
WOS:000295386800027,10.1016/j.watres.2011.06.043,2011
WOS:000294989200001,10.2166/aqua.2011.108,2011
WOS:000298411500002,10.2166/aqua.2011.036,2011
WOS:000296036400003,10.1016/S1001-0742(10)60629-8,2011
WOS:000288478700010,10.1016/j.watres.2010.12.002,2011
WOS:000286571500001,10.1016/S1001-0742(10)60367-1,2011
WOS:000291078100018,10.1016/j.talanta.2011.03.014,2011
WOS:000292947800018,10.1016/j.watres.2011.05.001,2011
WOS:000292030100038,10.2166/wst.2011.610,2011
WOS:000293624300006,10.2166/wh.2011.165,2011
WOS:000289387900001,10.2166/wh.2011.157,2011
WOS:000296022600002,10.1080/01919512.2011.604595,2011
WOS:000299585900009,10.1016/j.chroma.2011.11.031,2012
WOS:000301018700018,10.1016/j.watres.2011.11.018,2012
WOS:000307617200011,10.1016/j.neuro.2012.01.005,2012
WOS:000306010900012,10.1002/jssc.201200029,2012
WOS:000300540000031,10.1016/j.watres.2011.12.026,2012
WOS:000310324900012,10.1007/s11783-011-0367-6,2012
WOS:000327748800004,10.2166/ws.2011.134,2012
WOS:000305204900002,10.1016/j.jenvman.2012.03.006,2012
WOS:000301098900027,10.1021/jf204277v,2012
WOS:000309095800025,10.1016/j.watres.2012.06.008,2012
WOS:000317434400046,,2012
WOS:000299025400014,10.5942/jawwa.2012.104.0006,2012
WOS:000299137000020,10.1007/s11270-011-0896-4,2012
WOS:000311453400001,10.1080/19443994.2012.708191,2012
WOS:000310923200006,10.4314/wsa.v38i5.6,2012
WOS:000305182200018,10.1111/j.1095-8312.2012.01888.x,2012
