wos_accession_number,doi
WOS:000180466600003,10.2166/aqua.2002.0040
WOS:000309095800044,10.1016/j.watres.2012.07.012
WOS:000296036400003,10.1016/S1001-0742(10)60629-8
WOS:000464948100019,10.1007/s00216-019-01711-7
WOS:000737452400001,10.3390/w13243600
WOS:000319234500007,10.1016/j.chemosphere.2012.12.024
WOS:000415735900002,10.1080/01919512.2017.1352413
WOS:000369728600004,10.12783/issn.1544-8053/13/1/4
WOS:001560768600001,10.1016/j.jup.2025.102027
WOS:000691788700014,10.1016/j.heliyon.2021.e07706
WOS:001220767100001,10.1016/j.jwpe.2024.105140
WOS:000167283400002,10.1006/nlme.2000.3969
WOS:000617137800032,10.2166/ws.2020.110
WOS:001348691300001,10.2166/wh.2024.277
WOS:001317001900001,10.1016/j.jhazmat.2024.135708
WOS:001373781300001,10.1016/j.biortech.2024.131915
WOS:000422945900008,10.5942/jawwa.2017.109.0118
WOS:000514544700011,10.1016/j.scitotenv.2019.135061
WOS:000377732700045,10.1016/j.chemosphere.2016.05.010
WOS:001272717500001,10.1016/j.jenvman.2024.121828
WOS:000400052300007,
WOS:A1995RW01400010,10.1016/0273-1223(95)00456-W
WOS:000176097200002,
WOS:000388015400024,10.1080/19443994.2016.1193063
WOS:000404474300004,10.2166/aqua.2017.090
WOS:000231583400005,10.2166/aqua.2005.0030
WOS:000222401500040,10.2166/wst.2004.0589
WOS:000272467500003,10.2175/106143009X425933
WOS:000222401500017,10.2166/wst.2004.0548
WOS:001605622000003,10.1016/j.jhazmat.2025.140118
WOS:000282930800009,
WOS:001144066400005,10.1007/s11356-024-31848-7
WOS:000078203500017,
WOS:000311181700001,10.1016/j.desal.2012.08.028
WOS:000714148500008,10.1002/awwa.1786
WOS:000225194700012,10.1016/j.watres.2004.08.014
WOS:001359217700001,10.1002/awwa.2369
WOS:000722864000001,10.1111/1758-2229.13031
WOS:000532829200063,10.1016/j.jhazmat.2020.122404
WOS:000371396700013,
WOS:A1996TW92000007,10.1136/jech.50.1.18
WOS:001230637700001,10.1016/j.scitotenv.2024.172227
WOS:001464724600001,10.3390/w17070956
WOS:000176713700021,
WOS:000177173600014,
WOS:001325295300001,10.2166/wh.2024.166
WOS:001311461900001,10.3390/su16177625
WOS:001394843200001,10.3390/w17010079
WOS:000246258700009,10.1016/j.bbr.2007.02.012
WOS:000605624800002,10.1016/j.watres.2020.116643
WOS:000460710700059,10.1016/j.chemosphere.2019.01.072
WOS:A1995RW01400016,10.1016/0273-1223(95)00462-V
WOS:000308697200002,10.2166/aqua.2012.006
WOS:000317425200013,10.1007/s12665-012-1964-9
WOS:000244194900011,10.1080/09593332808618770
WOS:000475411500060,10.1016/j.ecoenv.2019.06.046
WOS:000434747700032,10.1016/j.watres.2018.04.023
WOS:000083324400001,
WOS:000246960100009,
WOS:000468253500050,10.1016/j.watres.2019.04.004
WOS:000333447000008,10.1016/S1001-0742(13)60409-X
WOS:000326994200018,10.1016/S1001-0742(12)60290-3
WOS:000381500700034,10.1128/AEM.01334-16
WOS:001171727600001,10.1016/j.jhazmat.2024.133539
WOS:000079811600017,10.1016/S0380-1330(99)70728-8
WOS:000188364500013,10.1016/j.watres.2003.10.054
WOS:001310352000001,10.3389/fenvs.2024.1433586
WOS:000264730900017,10.1016/j.chroma.2008.12.020
WOS:000386413600066,10.1016/j.envres.2016.08.034
WOS:001523935600001,10.1039/d5ew00412h
WOS:000599421400018,10.1016/j.watres.2020.116478
WOS:000224231900018,10.1080/15287390490492377
WOS:000273615600007,10.2166/aqua.2009.020
WOS:000544985400033,10.5004/dwt.2020.25014
WOS:000554933300001,10.3390/w12061576
WOS:000080074800005,10.1080/01919519908547248
WOS:000246543400015,10.2166/wst.2007.169
WOS:000326035000007,10.2166/aqua.2013.055
WOS:000357949200002,10.2166/ws.2015.011
WOS:000363348900030,10.1016/j.scitotenv.2015.08.050
WOS:000267055500005,10.1061/(ASCE)0733-9496(2009)135:4(237)
WOS:000273615600009,10.2166/aqua.2009.023
WOS:000387092100007,10.1080/19443994.2016.1177274
WOS:000743241500007,10.1016/j.scitotenv.2021.152804
WOS:000071577500013,10.2166/wst.1997.0436
WOS:000083482500004,10.1080/01919512.1999.10382885
WOS:000241703700001,10.1080/01919510600892836
WOS:000317325700001,10.1016/j.chemosphere.2013.01.003
WOS:001050854000001,10.1039/d3ew00282a
WOS:000247585800020,10.1016/j.watres.2007.02.041
WOS:000311085200001,10.1186/1471-2458-12-556
WOS:000246543400005,10.2166/wst.2007.158
WOS:000227701000003,10.1081/ESE-200048262
WOS:000324604000010,10.1016/j.seppur.2013.04.029
WOS:000266183100014,10.1016/j.watres.2009.02.015
WOS:000449137700004,10.1016/j.watres.2018.08.014
WOS:000394723200035,10.1016/j.cej.2016.12.086
WOS:000876334900001,10.1039/d2ew00046f
WOS:001034778200021,10.1007/s11356-023-27506-z
WOS:000246543400031,10.2166/wst.2007.185
WOS:000236569100004,10.2166/aqua.2005.054
WOS:A1997XH10100013,10.1006/anbe.1996.0433
WOS:000374302500026,10.2166/ws.2015.102
WOS:000237479100003,
WOS:000448798400002,10.1127/fal/2018/1169
WOS:000564308700011,10.1016/j.foodqual.2020.104024
WOS:001299536300001,10.1016/j.limno.2024.126183
WOS:000821146300002,10.1016/j.marpolbul.2022.113579
WOS:000073795400036,10.1016/S0043-1354(97)00379-5
WOS:000071584800021,10.1016/S0021-9673(97)00769-3
WOS:000348332400004,10.1021/es504403t
WOS:001351346300001,10.1016/j.crfs.2024.100912
WOS:000463025900022,10.5004/dwt.2019.23894
WOS:000079485400003,10.1016/S0043-1354(98)00357-1
WOS:000321314000086,10.1016/j.foodchem.2013.02.093
WOS:000271338000004,10.1016/j.scitotenv.2009.06.031
WOS:000509611300086,10.1016/j.watres.2019.115353
WOS:000360793100005,10.2166/wh.2015.171
WOS:000374917300008,
WOS:000543695200001,10.1007/s10201-020-00630-2
WOS:000312156900007,10.1002/clen.201200040
WOS:000260561200050,10.1021/es801465w
WOS:000222401500043,10.2166/wst.2004.0592
WOS:A1997XH10100011,10.1006/anbe.1996.0384
WOS:001696263000001,10.1016/j.jece.2026.121855
WOS:000443230700005,10.1002/awwa.1090
WOS:000458221200043,10.1016/j.watres.2018.11.034
WOS:000222401500039,10.2166/wst.2004.0588
WOS:000222401500042,10.2166/wst.2004.0591
WOS:000238014600015,10.1016/j.watres.2006.02.030
WOS:000222401500013,10.2166/wst.2004.0540
WOS:A1995RW01400037,10.1016/0273-1223(95)00483-4
WOS:000985232500055,10.1038/s41598-023-28543-x
WOS:000246543400016,10.2166/wst.2007.170
WOS:000076971100004,
WOS:000166952900003,10.2166/wqrj.2001.003
WOS:000586853700001,10.1089/ees.2020.0245
WOS:000605130200011,10.1007/s10230-020-00737-z
WOS:000845163800001,10.3390/toxics10080485
WOS:000246543400002,10.2166/wst.2007.155
WOS:000223035400021,10.1021/es035021i
WOS:000572324500002,10.1007/s00253-020-10884-6
WOS:000245731800008,10.1016/j.cvfa.2006.12.002
WOS:000306080200004,10.1089/ees.2011.0007
WOS:000292030100038,10.2166/wst.2011.610
WOS:000336339800034,10.1016/j.cej.2014.03.018
WOS:000273615600008,10.2166/aqua.2009.121
WOS:000451208400111,10.3390/w10101396
WOS:000819371600002,10.1007/s00253-022-12013-x
WOS:000479023000018,10.1016/j.watres.2019.06.066
WOS:000246588600020,
WOS:000231165400005,10.1002/tox.20128
WOS:000253748500019,10.1002/clen.200700055
WOS:A1997XR39300024,10.1016/S0031-9384(97)00172-8
WOS:001425713700001,10.1016/j.jenvman.2025.124459
WOS:000268800900002,10.2166/aqua.2009.089
WOS:000246543400027,10.2166/wst.2007.181
WOS:A1997XN75800058,10.1021/es960987y
WOS:000303546900010,10.1007/s11356-011-0613-2
WOS:000374315100003,10.2166/aqua.2014.097
WOS:000461676600070,10.1016/j.scitotenv.2019.02.271
WOS:001208974800001,10.1016/j.ecoenv.2024.116198
WOS:000433153600024,10.1016/j.scitotenv.2018.03.352
WOS:000927973700001,10.1016/j.jwpe.2023.103518
WOS:000294989200001,10.2166/aqua.2011.108
WOS:000543753800002,10.1127/fal/2020/1296
WOS:000257719300012,
WOS:000246732500022,10.1016/j.watres.2007.02.005
WOS:000929071800003,10.4194/TRJFAS21811
WOS:000735940500001,10.3390/microorganisms9122486
WOS:000758284200002,10.1016/j.chemosphere.2021.133419
WOS:000350051400004,10.1080/10934529.2015.987526
WOS:000694893900001,10.1007/s11270-021-05340-8
WOS:000230331400004,10.1002/ffj.1464
WOS:000266183100011,10.1016/j.watres.2009.02.016
WOS:000447275300001,10.1016/j.jes.2017.12.008
WOS:000259182800007,10.2166/aqua.2008.198
WOS:000180953900016,
WOS:000332396200015,10.1371/journal.pone.0088059
WOS:000317159300062,10.1016/j.cej.2013.01.035
WOS:000279447400001,10.1016/j.chemosphere.2010.04.067
WOS:000089465000021,10.2166/wst.2000.0302
WOS:000356240400004,10.12989/mwt.2015.6.3.225
WOS:000282149000008,10.1016/j.cis.2010.06.007
WOS:000076476200002,10.1016/S0043-1354(98)00130-4
WOS:000371555200026,10.1016/j.watres.2016.01.058
WOS:000246543400020,10.2166/wst.2007.174
WOS:000701265600002,10.1016/j.scitotenv.2021.149455
WOS:000883726400001,10.2166/aqua.2022.133
WOS:A1997WD07300013,10.1016/S0043-1354(96)00254-0
WOS:000524011400001,10.1080/09593330.2020.1743371
WOS:000087929100013,10.1016/S0043-1354(00)00077-4
WOS:000339989500050,10.3390/ijerph110707376
WOS:000491634500099,10.1016/j.chemosphere.2019.124342
WOS:000352068100010,10.2166/ws.2014.088
WOS:000242371600001,10.1016/j.jenvman.2005.11.017
WOS:000296578100002,10.2166/aqua.2011.059
WOS:000311453400001,10.1080/19443994.2012.708191
WOS:000299025400014,10.5942/jawwa.2012.104.0006
WOS:000242142700007,10.2166/wqrj.2006.033
WOS:000686079500005,10.1016/j.watres.2021.117327
WOS:001650664300001,10.1016/j.envpol.2025.127397
WOS:000277575100014,10.1080/10934521003709115
WOS:000340665800004,10.1111/1750-3841.12511
WOS:001629000200001,10.1007/s13762-025-06807-5
WOS:000371991000042,10.1080/19443994.2015.1059370
WOS:000395956700001,10.1016/j.chroma.2017.01.015
WOS:000437819500014,10.1016/j.desal.2018.04.017
WOS:000597027200001,10.1080/01919512.2020.1856641
WOS:A1997WV97000025,10.1016/S0043-1354(96)00362-4
WOS:000336734600002,10.2166/aqua.2013.123
WOS:000397688200032,10.1016/j.seppur.2017.01.059
WOS:000383611500002,10.1002/clen.201500749
WOS:000078691900008,10.1016/S0380-1330(98)70867-6
WOS:000734153900002,10.1016/j.chemosphere.2021.133325
WOS:A1997XE04200024,10.1016/S0043-1354(96)00338-7
WOS:000250700600034,10.1128/AEM.01197-07
WOS:000424725900002,10.1016/j.watres.2017.12.013
WOS:000255847300017,
WOS:001130276500005,10.1007/s11356-023-31329-3
WOS:000188064800002,10.2166/aqua.2003.0048
WOS:000309095800025,10.1016/j.watres.2012.06.008
WOS:000374315100006,10.2166/aqua.2015.100
WOS:000461548300012,10.1039/c8ew00600h
WOS:000491632600009,10.1016/j.hal.2019.101658
WOS:000454880400020,10.1016/j.trac.2018.10.032
WOS:000393861000002,10.1038/srep41928
WOS:000362832300004,10.1080/19443994.2014.950998
WOS:001094525800001,10.1016/j.watres.2023.120485
WOS:000083324400029,10.2166/wst.1999.0300
WOS:A1997XY85600008,10.1016/S0160-4120(97)00070-6
WOS:000088630300012,10.1016/S0043-1354(00)00079-8
WOS:000815635000004,10.3103/S1063455X22020084
WOS:000535471400015,10.1016/j.scitotenv.2020.137786
WOS:000324166400022,10.3724/SP.J.1096.2013.20882
WOS:000222401500031,10.2166/wst.2004.0577
WOS:000078203500021,
WOS:001183415900001,10.3390/su16052043
WOS:000276641700020,10.5004/dwt.2010.1678
WOS:000321723100012,
WOS:000238622000009,
WOS:000447247500023,10.1016/j.envres.2018.07.010
WOS:000221446800008,10.1016/j.foodhyd.2003.10.002
WOS:000341817100001,10.1080/10643389.2013.829972
WOS:000220036100009,
WOS:000362413200004,10.1515/eces-2015-0012
WOS:000369018200001,10.3389/fmicb.2016.00045
WOS:001074162900001,10.3390/microorganisms11092332
WOS:000082750800006,10.1016/S0043-1354(99)00051-2
WOS:000391267300014,10.4314/wsa.v42i4.14
WOS:000309436700008,
WOS:000428832700006,10.2486/indhealth.2017-0041
WOS:000222401500006,10.2166/wst.2004.0527
WOS:000345124100005,10.1016/j.cattod.2014.03.027
WOS:000424765000021,10.2166/wst.2017.569
WOS:000083324400005,10.2166/wst.1999.0256
WOS:000396138800066,10.1007/s11356-016-7966-5
WOS:000592898700001,10.1590/0001-3765202020190453
WOS:000285443700001,10.1016/j.watres.2010.06.070
WOS:000489840100020,10.1016/j.psep.2019.08.005
WOS:001542702000002,10.1016/j.dwt.2025.101340
WOS:000754202500006,10.1590/0102-33062020abb0476
WOS:000981551200001,10.1016/j.jwpe.2023.103705
WOS:000353748600002,
WOS:000759471400049,10.1021/acs.est.1c02129
WOS:000434005600013,10.1016/j.foodres.2018.03.024
WOS:000329377700048,10.1016/j.foodres.2013.07.017
WOS:000250290700006,10.1080/13504500709469749
WOS:000286294300010,10.1016/j.scitotenv.2010.10.010
WOS:001110247500001,10.1016/j.jece.2023.111185
WOS:000345133400003,10.1080/03067319.2014.974586
WOS:000089504000006,10.1080/03067310008032686
WOS:A1995QL83100009,10.2175/106143095X131349
WOS:000231879100003,10.1007/s10750-004-4665-x
WOS:000222401500037,10.2166/wst.2004.0586
WOS:000367477500010,10.1515/aep-2015-0043
WOS:000446334800014,10.2166/wh.2018.129
WOS:000086264000004,10.2166/aqua.2000.0009
WOS:000704427000001,10.2166/wh.2021.187
WOS:000071542800003,10.1021/es9704085
WOS:000165555200008,10.1016/S0149-1970(00)00021-4
WOS:001489800900001,10.1016/j.cej.2025.162892
WOS:000945984600001,10.1016/j.watres.2023.119693
WOS:000233644300017,10.2166/wst.2005.0245
WOS:001636838200001,10.1002/fsn3.71339
WOS:A1995QW06100012,10.1016/0043-1354(94)00300-V
WOS:000083324400016,10.1016/S0273-1223(99)00546-6
WOS:001447788700001,10.1080/09593330.2025.2478182
WOS:001116261100001,10.3390/w15234107
WOS:000729784100002,10.1007/s10661-021-09557-2
WOS:000246543400014,10.2166/wst.2007.168
WOS:000319088600064,10.1016/j.talanta.2013.01.026
WOS:000341864600005,10.2166/aqua.2014.144
WOS:000222401500035,10.2166/wst.2004.0584
WOS:000724574400004,10.1016/j.cej.2021.132829
WOS:000254893200020,
WOS:000915228500001,10.3390/ijerph20021019
WOS:000314426200002,10.1039/c2ra22243d
WOS:000378448800021,10.1016/j.watres.2016.05.021
WOS:000634577300010,10.1016/j.appet.2021.105147
WOS:000333998000006,10.1080/19443994.2013.797669
WOS:000263444500020,10.1016/j.desal.2007.11.059
WOS:000677903900001,10.1080/07900627.2021.1940105
WOS:A1995RW01400031,10.1016/0273-1223(95)00477-5
WOS:000396042900005,10.1080/10402381.2016.1263694
WOS:000360418000018,10.1016/j.watres.2015.06.038
WOS:000631920900002,10.1007/s10661-021-08980-9
WOS:000730783800003,10.1016/j.envres.2021.112308
WOS:000234442600006,10.1016/j.watres.2005.06.038
WOS:000294101300022,10.1016/j.watres.2011.06.006
WOS:000800673700012,10.1016/j.scitotenv.2022.153350
WOS:000168836800027,
WOS:001671931400001,10.3390/w18020231
WOS:000247835500003,10.1016/j.desal.2006.10.002
WOS:000521704300010,10.1007/s11356-020-08267-5
WOS:000335778700011,10.1007/s10337-014-2676-y
WOS:000466493900013,10.2166/ws.2018.161
WOS:001549686500001,10.3390/su17157107
WOS:000632958900011,10.1016/j.jwpe.2020.101820
WOS:000295386800027,10.1016/j.watres.2011.06.043
WOS:000079813300004,10.1039/a807714b
WOS:000254686600021,10.1016/j.neulet.2008.01.037
WOS:000396502100010,10.4314/wsa.v43i1.10
WOS:000299585900009,10.1016/j.chroma.2011.11.031
WOS:000938296300001,10.3390/chemosensors11020084
WOS:000371702300006,10.1080/19443994.2015.1061457
WOS:001077259800001,10.3390/microorganisms11092133
WOS:000386382000006,10.4314/wsa.v42i3.06
WOS:000390181600038,10.1016/j.watres.2016.11.014
WOS:000406310400030,10.1007/s11270-017-3474-6
WOS:000529850800001,10.1007/s10311-020-01013-w
WOS:A1996UV22800009,10.1002/(SICI)1098-2302(199607)29:5<417::AID-DEV2>3.0.CO;2-R
WOS:001698972500001,10.1016/j.watres.2026.125548
WOS:000347756900005,10.1016/j.watres.2014.09.037
WOS:000301018700018,10.1016/j.watres.2011.11.018
WOS:000330601400037,10.1016/j.watres.2013.10.028
WOS:000906906400007,10.1016/j.scitotenv.2022.159465
WOS:000348592800005,10.2166/wh.2014.223
WOS:000691258000010,10.1016/j.jenvman.2021.113304
WOS:000617137800023,10.2166/ws.2020.102
WOS:000424121200076,10.3390/ijerph15010076
WOS:000512056300001,10.1007/s10661-020-8090-z
WOS:000295029000009,10.2166/wqrj.2010.047
WOS:000478663100043,10.1016/j.heliyon.2019.e02121
WOS:000291078100018,10.1016/j.talanta.2011.03.014
WOS:001385637300001,10.3390/microorganisms12122610
WOS:000647381000007,10.1016/j.watres.2021.117111
WOS:000447478100031,10.1016/j.chemosphere.2018.08.015
WOS:000259277200030,10.1016/j.pce.2008.06.025
WOS:000275766400012,10.1016/j.watres.2009.10.018
WOS:000711852500011,10.1016/j.jhazmat.2021.127530
WOS:001608030200001,10.1016/j.jenvman.2025.127573
WOS:000497673400011,10.1061/(ASCE)EE.1943-7870.0001626
WOS:000289387900001,10.2166/wh.2011.157
WOS:000221603100028,10.1016/j.jcis.2004.03.010
WOS:001319023900001,10.1016/j.watres.2024.122461
WOS:000330159200004,
WOS:000861394800006,10.1016/j.jclepro.2022.133762
WOS:000348791100012,10.2166/ws.2014.057
WOS:001423549400001,10.1016/j.eti.2025.104042
WOS:000222401500045,10.2166/wst.2004.0594
WOS:000358642400008,10.1186/s12889-015-1974-0
WOS:000419141300013,10.30638/eemj.2017.238
WOS:000555915200089,10.3390/w12051310
WOS:A1995RW01400029,10.1016/0273-1223(95)00475-3
WOS:A1996UF94100036,10.7589/0090-3558-32.2.395
WOS:000704988700009,10.1016/j.chemosphere.2021.131551
WOS:000323356700009,10.1016/S1001-0742(12)60231-9
WOS:001603792500001,10.3390/biology14101377
WOS:000719511800001,10.3389/fmicb.2021.741750
WOS:000281921200017,10.1016/j.chroma.2010.07.051
WOS:001035708700001,10.1016/j.watres.2023.120219
WOS:001141728100001,10.1016/j.jiec.2023.09.048
WOS:000249608700002,10.1080/10236240701602218
WOS:000416186400003,10.1016/j.hal.2017.09.006
WOS:000482436200008,10.1039/c9ew00303g
WOS:000928270100005,10.1016/j.jwpe.2022.103437
WOS:000821892200004,10.1007/s11270-022-05728-0
WOS:001585909700001,10.1016/j.jece.2025.119479
WOS:000229662200058,10.1021/es040480k
WOS:000263595500020,10.1016/j.watres.2008.10.044
WOS:000821504500007,10.1016/j.watres.2022.118417
WOS:000229765500005,10.1007/s00254-005-1222-5
WOS:000168836600028,10.1002/j.1551-8833.2001.tb09130.x
WOS:000074735800019,10.1016/S0043-1354(97)00444-2
WOS:000447004100005,10.1016/j.cej.2018.08.180
WOS:000223543600050,
WOS:000445760200091,10.3390/app8091502
WOS:000280285300002,10.1080/07438141.2010.494131
WOS:000449184900023,10.1039/c8ew00407b
WOS:000316841000005,10.1177/0960327112456316
WOS:000349195100055,10.1016/j.scitotenv.2014.11.069
WOS:A1997WK45600017,10.1016/S0011-9164(97)00018-0
WOS:000320497500021,10.1016/j.watres.2013.04.038
WOS:000173262400001,10.1016/S0043-1354(01)00253-6
WOS:000174008200001,
WOS:000250464700010,10.1007/s00254-007-0672-3
WOS:000536933200004,10.1016/j.apcatb.2020.118935
WOS:001259103900001,10.1016/j.seppur.2024.128429
WOS:000543713600003,10.1016/j.cej.2019.123243
WOS:000657734800001,10.1007/s10661-021-09140-9
WOS:000444918000013,10.1016/j.aca.2018.07.051
WOS:000265169200017,10.2166/wst.2009.035
WOS:000288344000077,10.1016/j.jhazmat.2010.12.049
WOS:000222401500018,10.2166/wst.2004.0550
WOS:000424176200002,10.1016/j.mimet.2017.10.013
WOS:001062488400001,10.2989/16085914.2023.2231513
WOS:000073795400006,10.1016/S0043-1354(97)00388-6
WOS:000079158700024,10.1002/(SICI)1522-7278(199902)14:1<183::AID-TOX24>3.0.CO;2-G
WOS:000427804800032,10.1007/s10811-017-1233-0
WOS:001133294500001,10.1016/j.scitotenv.2023.168920
WOS:000312835300009,10.1007/s10661-012-2536-x
WOS:001105318900001,10.1016/j.heliyon.2023.e21580
WOS:000816989100014,10.1016/j.scitotenv.2022.156406
WOS:000380137800009,10.1007/s12517-016-2552-1
WOS:000259193900021,10.1139/F08-084
WOS:000239769400017,
WOS:000323200400015,10.1111/1574-6941.12145
WOS:000445137100003,10.2166/ws.2018.001
WOS:000334262300010,
WOS:001277179300001,10.1016/j.jclepro.2024.143155
WOS:000406436100009,10.1016/j.ecolind.2017.04.046
WOS:000952508500001,10.2478/aoas-2023-0023
WOS:001609627600004,10.1016/j.jece.2025.119871
WOS:000284097500002,10.1080/10934521003772352
WOS:000589970700004,10.1016/j.watres.2020.116471
WOS:000631776700022,10.1016/j.sjbs.2020.12.017
WOS:000831605800007,10.1016/j.watres.2022.118787
WOS:000075531900013,10.2166/wst.1998.0392
WOS:000446076500146,10.1016/j.scitotenv.2018.08.307
WOS:000246588200015,10.1016/j.watres.2007.01.021
WOS:A1995QU85500010,
WOS:000287078000018,10.2166/wh.2010.131
WOS:000310324900012,10.1007/s11783-011-0367-6
WOS:000438615300002,10.1177/0306312718778358
WOS:000760197000003,10.1016/j.ecolind.2021.108442
WOS:000305802200003,10.2166/aqua.2012.096
WOS:000337775500001,10.1016/j.jphotochem.2014.04.013
WOS:000366327100003,10.1080/09593330.2015.1069405
WOS:000328804200035,10.1016/j.cej.2013.09.041
WOS:000370092000007,10.1016/j.watres.2015.12.006
WOS:000177109400037,10.1021/jf0255174
WOS:000083688900014,10.1021/es990336c
WOS:000642467500008,10.1016/j.foodchem.2021.129504
WOS:001384938700001,10.3390/d16120720
WOS:000352652700007,
WOS:000582219300082,10.1016/j.ecoenv.2020.111343
WOS:000514630000059,10.3390/toxins12010040
WOS:000072231600033,10.1016/S0043-1354(97)00276-5
WOS:000316611900006,10.1080/08927014.2013.772140
WOS:000611998700011,10.1134/S1995082920060140
WOS:001139731400001,10.3390/electronics13010063
WOS:000299137000020,10.1007/s11270-011-0896-4
WOS:000647608000011,10.1016/j.scitotenv.2021.146054
WOS:001307619100002,10.1007/s00343-024-4034-8
WOS:000429397700004,10.1016/j.watres.2018.02.041
WOS:000448462700024,10.3390/w10080990
WOS:000382805800008,10.1021/acs.est.6b00835
WOS:000080074800002,10.1080/01919519908547244
WOS:000609985500003,10.1007/s40201-021-00616-x
WOS:001550970200006,10.3791/67280
WOS:000637217000033,10.1016/j.psep.2020.09.058
WOS:000345368400001,10.1155/2014/743924
WOS:000312183200012,10.1016/j.jglr.2012.04.001
WOS:000382539600050,10.1039/c6ra16733k
WOS:000281958700016,10.5004/dwt.2010.1202
WOS:000184110900011,10.1046/j.1365-2672.2003.01974.x
WOS:000487565000045,10.1016/j.watres.2019.115025
WOS:001444415800001,10.1039/d4ew00944d
WOS:000612266400001,10.1007/s10337-020-03994-w
WOS:001476288000001,10.1016/j.jece.2025.116530
WOS:000709341700001,10.3390/ijerph181910303
WOS:000230724000007,10.1007/s10811-004-5506-z
WOS:000334511300006,10.1007/s00706-013-1148-7
WOS:000265510300009,10.1016/j.bbr.2008.12.031
WOS:000223604200021,
WOS:000366662900018,10.1080/19443994.2014.986823
WOS:000407305300037,
WOS:000426721400109,10.3390/ijerph15020284
WOS:001653288100004,10.1007/s11270-025-09060-1
WOS:000595086100008,10.1016/j.jhazmat.2020.123693
WOS:000378206300122,10.1016/j.scitotenv.2016.05.173
WOS:000517663600018,10.1016/j.watres.2019.115432
WOS:000782777200002,10.1007/s00339-022-05524-x
WOS:000437299700001,10.1186/s12940-018-0402-1
WOS:000795159200004,10.1016/j.ecoleng.2022.106565
WOS:000696824200004,10.1016/j.envpol.2021.117772
WOS:000336637300020,10.1016/j.jglr.2014.03.016
WOS:000320274000001,10.1111/1541-4337.12015
WOS:000284574200004,10.2166/aqua.2010.101
WOS:001437280500001,10.1016/j.watres.2025.123336
WOS:000479023000029,10.1016/j.watres.2019.06.005
WOS:001371320300001,10.1089/ees.2024.0187
WOS:000711633300004,10.1016/j.jece.2021.106588
WOS:000485843500057,
WOS:000427344600039,
WOS:000323356700005,10.1016/S1001-0742(12)60232-0
WOS:000337261500021,10.1016/j.watres.2014.03.070
WOS:000289404000001,10.1080/03067310903582341
WOS:000290884000017,10.1016/S1001-0742(10)60458-5
WOS:000402531100008,10.1590/1678-457X.16616
WOS:000411118300061,10.1016/j.cej.2017.07.055
WOS:001329624300001,10.1016/j.jopan.2023.12.024
WOS:000436401800008,10.1007/s00217-018-3054-z
WOS:000083324400019,10.2166/wst.1999.0282
WOS:000790561100005,10.1016/j.jece.2022.107508
WOS:001015410000001,10.1016/j.seppur.2023.124206
WOS:000851996500001,10.3390/w14172670
WOS:000365096700008,10.1007/s10311-015-0519-1
WOS:001430841800001,10.1016/j.cej.2025.160677
WOS:000089557100006,10.1016/S0380-1330(00)70695-2
WOS:000905670000001,10.1016/j.jwpe.2022.103406
WOS:000300540000031,10.1016/j.watres.2011.12.026
WOS:000371937900050,10.1016/j.jtice.2015.11.007
WOS:000180693500020,10.1051/lhb/2002069
WOS:001107303900197,10.1128/spectrum.02561-23
WOS:000403991700027,10.1016/j.chemosphere.2017.04.138
WOS:000168990800022,10.1039/b008013f
WOS:001144437200001,10.1016/j.scitotenv.2023.169249
WOS:000861717800002,10.1016/j.chemosphere.2022.135611
WOS:000183246700012,10.1007/s00216-003-1868-3
WOS:000525317700048,10.1016/j.eti.2019.100557
WOS:000257560200001,10.1186/1476-069X-7-24
WOS:A1995RJ48200005,10.1080/01919519508547537
WOS:000301018700017,10.1016/j.watres.2011.06.029
WOS:000463816800004,10.1080/10739149.2018.1527774
WOS:000268801000007,10.2166/aqua.2009.197
